"filename", "language", "CSS", "JavaScript", "XML", "JavaScript JSX", "JSON", "comment", "blank", "total"
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\css\TableColumn.module.css", "CSS", 27, 0, 0, 0, 0, 0, 4, 31
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\css\Tool.module.css", "CSS", 66, 0, 0, 0, 0, 4, 6, 76
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\css\ToolGroupItem.module.css", "CSS", 18, 0, 0, 0, 0, 0, 2, 20
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\css\ToolGroupItemDetails.module.css", "CSS", 23, 0, 0, 0, 0, 0, 2, 25
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\css\ToolGroupList.module.css", "CSS", 36, 0, 0, 0, 0, 0, 1, 37
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\css\ToolList.module.css", "CSS", 119, 0, 0, 0, 0, 4, 19, 142
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\css\ToolModal.module.css", "CSS", 88, 0, 0, 0, 0, 4, 5, 97
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\service\toolManager.js", "JavaScript", 0, 161, 0, 0, 0, 0, 8, 169
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\validationSchema\toolGroupValidationSchema.js", "JavaScript", 0, 26, 0, 0, 0, 1, 5, 32
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\validationSchema\toolValidationSchema.js", "JavaScript", 0, 22, 0, 0, 0, 0, 2, 24
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\index.css", "CSS", 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\index.js", "JavaScript", 0, 12, 0, 0, 0, 3, 3, 18
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\logo.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
